"file","description"
"00_setup/section_00_course_scripts_status.csv","Estado de carga de scripts auxiliares provistos en clase"
"01_data_descriptives/section_01_outputs_manifest.csv","Indice de salidas CSV generadas por el script maestro"
"01_data_descriptives/section_01_model_sample.csv","Definicion de muestra de trabajo"
"01_data_descriptives/section_01_variable_check.csv","Verificacion de variables requeridas"
"01_data_descriptives/section_01_system_samples.csv","Subconjuntos para sistemas de importaciones y exportaciones"
"01_data_descriptives/section_01_descriptive_statistics.csv","Estadisticas descriptivas de niveles logaritmicos y primeras diferencias"
"01_data_descriptives/section_01_descriptive_seasonality_by_quarter.csv","Resumen por trimestre de primeras diferencias para revisar estacionalidad"
"01_data_descriptives/section_01_descriptive_interpretation_guide.csv","Guia de lectura para tendencia, estacionalidad, volatilidad y quiebres"
"01_data_descriptives/section_01_unit_root_adf_results.csv","Resultados ADF en niveles y diferencias"
"01_data_descriptives/section_01_unit_root_adf_order_summary.csv","Resumen preliminar de orden de integracion"
"02_unit_roots/section_02_unit_root_adf_urca_results.csv","Resultados ADF formales con urca::ur.df"
"02_unit_roots/section_02_unit_root_adf_urca_order_summary.csv","Resumen formal de orden de integracion con urca::ur.df"
"02_unit_roots/section_02_course_adf_ver3_results.csv","Resultados ADF capturados desde Test.ADF.Ver.3.R"
"03_var_lags/section_03_var_lag_selection.csv","Rezagos VAR sugeridos por AIC, HQ, SC/BIC y FPE"
"03_var_lags/section_03_var_lag_criteria.csv","Valores de criterios de informacion para rezagos VAR candidatos"
"03_var_lags/section_03_var_lag_decision.csv","Decision base de rezagos VAR usando SC/BIC como criterio principal"
"03_var_lags/section_03_var_lag_diagnostic_grid.csv","Grilla de autocorrelacion residual para retroalimentar rezagos VAR"
"03_var_lags/section_03_var_lag_diagnostic_decision.csv","Decision final de rezagos VAR ajustada por diagnosticos residuales"
"03_var_lags/section_03_var_lag_exclusion_wald.csv","Tests Wald de exclusion conjunta por rezago en cada VAR; H0: bloque de rezago igual a cero"
"04_johansen_diagnostics/section_04_johansen_trace_results.csv","Pruebas de cointegracion de Johansen por estadistico de traza"
"04_johansen_diagnostics/section_04_johansen_eigen_results.csv","Pruebas de cointegracion de Johansen por maximo autovalor"
"04_johansen_diagnostics/section_04_johansen_rank_decision.csv","Decision preliminar de rango de cointegracion por Johansen"
"04_johansen_diagnostics/section_04_course_vcorr_residual_autocorrelation.csv","Diagnosticos de autocorrelacion residual VAR con vcorr_res.R"
"04_johansen_diagnostics/section_04_course_white_no_cross_heteroskedasticity.csv","Test White no-cross de heterocedasticidad residual VAR"
"05_engle_granger_ecm/section_05_engle_granger_equations.csv","Ecuaciones de largo plazo Engle-Granger"
"05_engle_granger_ecm/section_05_engle_granger_long_run_coefficients.csv","Coeficientes de largo plazo Engle-Granger"
"05_engle_granger_ecm/section_05_engle_granger_residual_tests.csv","Pruebas ADF sobre residuos Engle-Granger"
"05_engle_granger_ecm/section_05_engle_granger_decision.csv","Decision operativa para ECM o primeras diferencias"
"05_engle_granger_ecm/section_05_ecm_short_run_model_summary.csv","Resumen de modelos ECM o primeras diferencias"
"05_engle_granger_ecm/section_05_ecm_short_run_coefficients.csv","Coeficientes de modelos ECM o primeras diferencias"
"05_engle_granger_ecm/section_05_ecm_adjustment_summary.csv","Velocidad de ajuste del ECM"
"05_engle_granger_ecm/section_05_eg_ecm_elasticity_summary.csv","Resumen de elasticidades Engle-Granger y ECM para el informe"
"06_vecm_decisions/section_06_johansen_robustness_summary.csv","Robustez de Johansen comparando ecdet const y none"
"06_vecm_decisions/section_06_var_vec_treatment_decision.csv","Decision operativa para VECM o VAR en diferencias"
"06_vecm_decisions/section_06_vecm_cointegration_vectors.csv","Vectores de cointegracion normalizados del VECM de importaciones"
"06_vecm_decisions/section_06_vecm_adjustment_coefficients.csv","Coeficientes de ajuste del VECM de importaciones"
"06_vecm_decisions/section_06_vecm_short_run_summary.csv","Coeficientes deterministas y de corto plazo del VECM de importaciones"
"06_vecm_decisions/section_06_feedback_audit.csv","Auditoria de retroalimentacion entre diagnosticos y bloques posteriores"
